# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
nian zhi du 	年制度	c=1 d=1 t=30487
nian zhong 	年中	c=1 d=1 t=145978
niao 	鸟	c=12 d=1.78663 t=211406
niao ji 	尿急	c=1 d=1 t=157151
niao suan 	尿酸	c=4 d=1 t=252498
nie 	捏	c=3 d=1 t=88302
nie nie jian 	捏捏肩	c=1 d=1 t=45593
nie xiao qian 	聂小倩	c=1 d=1 t=60776
ning ju li 	凝聚力	c=1 d=1 t=264197
ning ke 	宁可	c=2 d=1 t=247077
ning meng 	柠檬	c=1 d=1 t=141456
ning yuan 	宁愿	c=2 d=1 t=174576
niu 	牛	c=3 d=1 t=245828
niu bi 	牛逼	c=7 d=1 t=254107
niu jie 	牛街	c=2 d=1.00037 t=16665
niu ma 	牛马	c=4 d=1 t=264884
niu nai 	牛奶	c=5 d=1 t=255764
niu nan 	牛腩	c=1 d=1 t=100758
niu niu yao 	扭扭腰	c=1 d=1 t=232448
niu pai 	牛排	c=3 d=2.79659 t=176458
niu pi 	牛批	c=3 d=1 t=99315
niu pi 	牛皮	c=2 d=1 t=243680
niu pi gu 	扭屁股	c=1 d=1 t=232442
niu qu 	扭曲	c=1 d=1 t=60188
niu ren 	牛人	c=1 d=1 t=243069
niu rou 	牛肉	c=6 d=1 t=105729
niu rou mian 	牛肉面	c=1 d=1 t=14952
nong 	弄	c=341 d=1.00005 t=269107
nong bu hao 	弄不好	c=2 d=1 t=255268
nong chang 	农场	c=16 d=1 t=265205
nong cheng 	弄成	c=8 d=1 t=183208
nong chu lai 	弄出来	c=2 d=1 t=75218
nong cun 	农村	c=4 d=1 t=260740
nong dao 	弄到	c=1 d=1 t=101203
nong dian 	弄点	c=3 d=1 t=194386
nong dong xi 	弄东西	c=1 d=1 t=87357
nong fu shan quan 	农夫山泉	c=1 d=1 t=162658
nong ge 	弄个	c=2 d=1 t=166325
nong hao 	弄好	c=17 d=1 t=267418
nong jia le 	农家乐	c=1 d=1 t=123346
nong li 	农历	c=3 d=1.1437 t=115555
nong min 	农民	c=1 d=1 t=119346
nong wan 	弄完	c=24 d=1 t=269254
nong xia 	弄下	c=2 d=1 t=134461
nong yao 	弄药	c=1 d=1 t=98724
nong ye 	农业	c=1 d=1 t=35271
nong zhe 	弄着	c=1 d=1 t=205830
nu ba li 	努把力	c=1 d=1 t=266489
nu li 	努力	c=7 d=1 t=160427
nuan 	暖	c=1 d=1 t=266914
nuan bao bao 	暖宝宝	c=4 d=1 t=177611
nuan huo 	暖和	c=8 d=1 t=248368
nuan huo xie 	暖和些	c=1 d=1 t=144529
nuan nuan 	暖暖	c=3 d=1 t=92685
nuo 	挪	c=9 d=1 t=267476
nuo guo qu 	挪过去	c=1 d=1 t=112823
nuo yu mi 	糯玉米	c=2 d=1.9802 t=65743
nv 	女	c=15 d=1 t=233256
nv di 	女帝	c=1 d=1 t=165567
nv er 	女儿	c=5 d=1 t=194100
nv fang 	女方	c=1 d=1 t=247075
nv gui 	女鬼	c=5 d=1 t=60775
nv hai 	女孩	c=2 d=1 t=76252
nv hai zi 	女孩子	c=2 d=1.94649 t=4383
nv han zi 	女汉子	c=1 d=1 t=4386
nv lang 	女郎	c=8 d=1 t=260790
nv lao shi 	女老师	c=1 d=1 t=34823
nv peng you 	女朋友	c=10 d=1.00004 t=250943
nv ren 	女人	c=3 d=1 t=223629
nv she shou 	女射手	c=2 d=1 t=235683
nv sheng 	女声	c=1 d=1 t=193864
nv sheng 	女生	c=17 d=1 t=232512
nv wa 	女娲	c=2 d=1.82283 t=37419
nv wang 	女王	c=6 d=1 t=267350
nv wu 	女巫	c=25 d=1 t=261636
nv zi 	女子	c=1 d=1 t=34460
o 	哦	c=20 d=1.00019 t=257452
o 	噢	c=1 d=1 t=63274
o ye 	哦耶	c=1 d=1 t=91326
ou 	区	c=1 d=0.1 t=226805
ou bao 	欧宝	c=1 d=1 t=64333
ou er 	偶尔	c=42 d=1 t=256948
ou er chi 	偶尔吃	c=1 d=1 t=237391
ou er hui 	偶尔会	c=1 d=1 t=157592
ou gan 	偶感	c=0 d=0.1 t=165646
ou he xing 	耦合性	c=1 d=1 t=99070
ou mei 	欧美	c=2 d=1.71534 t=262974
ou ran 	偶然	c=2 d=1 t=241784
ou tu 	呕吐	c=1 d=1 t=2407
ou wen 	欧文	c=1 d=1 t=67324
ou yuan 	欧元	c=0 d=0.1 t=44091
pa 	怕	c=72 d=1 t=261318
pa 	爬	c=16 d=1 t=263776
pa bu dong 	爬不动	c=1 d=1 t=7171
pa duan 	怕断	c=1 d=1 t=235470
pa leng 	怕冷	c=1 d=1 t=83614
pa lou ti 	爬楼梯	c=3 d=1 t=218357
pa mei la 	帕梅拉	c=1 d=1 t=147536
pa sha 	怕啥	c=1 d=1 t=21821
pa shan 	爬山	c=2 d=1 t=263833
pa shi 	怕是	c=1 d=1 t=146404
pa zai 	趴在	c=3 d=1.00152 t=123831
pa zhe 	趴着	c=6 d=1 t=122633
pai 	拍	c=45 d=1.90032 t=264290
pai 	排	c=29 d=1.02775 t=268834
pai 	牌	c=15 d=1 t=243155
pai ban 	排班	c=2 d=1 t=246778
pai biao 	排表	c=1 d=1 t=268121
pai bu shang hao 	排不上号	c=1 d=1 t=22385
pai cha 	排查	c=4 d=1 t=267858
pai chu 	排除	c=5 d=1 t=230799
pai chu xia 	排除下	c=1 d=1 t=77708
pai dao 	拍到	c=1 d=1 t=29701
pai dao 	排到	c=1 d=1 t=104473
pai de 	拍得	c=1 d=1 t=116705
pai de 	拍的	c=2 d=1.37344 t=73611
pai du 	排毒	c=0 d=0.1 t=24941
pai du a 	排毒啊	c=1 d=1 t=24942
pai duan 	拍断	c=1 d=1 t=235481
pai dui 	排队	c=14 d=1 t=148799
pai dui 	派对	c=5 d=1 t=69255
pai ge 	拍个	c=6 d=1 t=206871
pai ge zhao 	拍个照	c=1 d=1 t=7151
pai gu 	排骨	c=3 d=1 t=144247
pai gu tang 	排骨汤	c=1 d=1 t=172529
pai hang 	排行	c=3 d=1 t=128385
pai hang bang 	排行榜	c=2 d=1 t=263022
pai kong 	排空	c=1 d=1 t=69836
pai lai 	派来	c=1 d=1 t=220467
pai lie 	排列	c=6 d=1.95778 t=70672
pai mian 	牌面	c=1 d=1 t=4936
pai nao zi 	拍脑子	c=1 d=1 t=22309
pai pai 	拍拍	c=1 d=1 t=233367
pai qi 	排期	c=65 d=1.32594 t=269023
pai sheng lei 	派生类	c=1 d=1 t=163356
pai song 	派送	c=1 d=1 t=265542
pai wan 	拍完	c=1 d=1 t=264274
pai xia 	拍下	c=1 d=1 t=59635
pai xia 	排下	c=3 d=1 t=266461
pai xia lai 	拍下来	c=1 d=1 t=23317
pai xie qi 	排屑器	c=1 d=1 t=179431
pai xu 	排序	c=18 d=1.00105 t=254652
pai you 	排忧	c=0 d=0.1 t=201
pai you jie men 	排忧解闷	c=1 d=1 t=202
pai yue liang 	拍月亮	c=1 d=1 t=245747
pai zhao 	拍照	c=5 d=1 t=265811
pai zhao 	牌照	c=2 d=1.97045 t=132548
pai zhao pian 	拍照片	c=3 d=1 t=171317
pai zhe 	排着	c=2 d=1.36422 t=27964
pai zhe dui 	排着队	c=1 d=1 t=84572
pai zi 	牌子	c=8 d=1.46533 t=268354
pan 	盘	c=6 d=1 t=252712
pan dian 	盘点	c=1 d=1 t=258743
pan ding 	判定	c=2 d=1 t=263135
pan duan 	判断	c=163 d=1 t=269447
pan gei 	判给	c=1 d=1 t=35109
pan ni 	叛逆	c=1 d=1 t=360
pan ruo 	判若	c=2 d=1.956 t=2346
pan ruo liang ren 	判若两人	c=1 d=1 t=1548
pan tou 	盼头	c=3 d=1.6692 t=247368
pan xing 	判刑	c=1 d=1 t=132892
pan zhe 	盼着	c=2 d=1 t=220205
pan zi 	盘子	c=9 d=3.04759 t=70681
pang 	胖	c=29 d=1 t=261319
pang bian 	旁边	c=40 d=1.0002 t=265355
pang biao 	庞标	c=1 d=1 t=268120
pang guang 	膀胱	c=2 d=1 t=96425
pang huang shi cuo 	彷徨失措	c=1 d=1 t=77261
pang pang 	胖胖	c=2 d=1 t=237371
pang xie 	螃蟹	c=2 d=1 t=265794
pao 	抛	c=8 d=1 t=258063
pao 	泡	c=15 d=1 t=247498
pao 	跑	c=293 d=1.00007 t=266630
pao bu 	跑步	c=3 d=1 t=147676
pao bu chu lai 	跑不出来	c=6 d=1 t=234092
pao bu ji 	跑步机	c=1 d=1 t=188990
pao bu pao 	跑不跑	c=2 d=1.00026 t=234735
pao bu qi lai 	跑不起来	c=2 d=1 t=147436
pao bu qu 	跑步去	c=1 d=1 t=42895
pao bu wan 	跑不完	c=1 d=1 t=147420
pao cai 	泡菜	c=3 d=2.50321 t=55884
pao ce suo 	跑厕所	c=2 d=1 t=108307
pao cha 	泡茶	c=1 d=1 t=91516
pao che 	跑车	c=1 d=1 t=1647
pao chu 	抛出	c=8 d=1 t=257572
pao chu 	跑出	c=9 d=1 t=260454
pao chu lai 	跑出来	c=22 d=1 t=234056
pao chu qu 	抛出去	c=2 d=1 t=251922
pao chu qu 	跑出去	c=2 d=1 t=60413
pao dao 	跑到	c=1 d=1 t=69767
pao dao 	跑道	c=3 d=1 t=208128
pao de 	跑得	c=1 d=1 t=158851
pao dong 	跑动	c=1 d=1 t=75187
pao ge 	跑个	c=1 d=1 t=106810
pao guo 	跑过	c=1 d=1 t=60867
pao guo lai 	跑过来	c=1 d=1 t=75419
pao hui 	跑回	c=1 d=1 t=54113
pao hui lai 	跑回来	c=1 d=1 t=34523
pao huo che 	跑火车	c=5 d=1 t=101964
pao jiao 	泡脚	c=1 d=1 t=224861
pao jiao ji zhua 	泡椒鸡爪	c=1 d=1 t=113903
pao kai 	抛开	c=1 d=1 t=28069
pao ku 	跑酷	c=1 d=1 t=70178
pao lu 	跑路	c=2 d=1 t=83958
pao mian 	泡面	c=16 d=1.86071 t=253984
pao na me 	跑那么	c=1 d=1 t=251145
pao pao 	泡泡	c=20 d=1 t=241141
pao pao 	跑跑	c=13 d=1 t=264264
pao pao ka ding che 	跑跑卡丁车	c=2 d=1.11025 t=213045
pao qi 	抛弃	c=6 d=2.98506 t=124082
pao qi lai 	跑起来	c=2 d=1.04712 t=97192
pao qiu 	跑球	c=1 d=1 t=189065
pao qu 	跑去	c=1 d=1 t=2112
pao teng pian 	泡腾片	c=1 d=1 t=88640
pao tong 	跑通	c=2 d=1 t=153469
pao xia 	抛下	c=13 d=1.00186 t=240861
pao xia 	跑下	c=9 d=1 t=254884
pao yi ge 	跑一个	c=1 d=1 t=147467
pao yi xia 	跑一下	c=1 d=1 t=40586
pao you 	炮友	c=1 d=1 t=104147
pao zhe 	跑着	c=2 d=1 t=150520
pei 	呸	c=9 d=1 t=177567
pei 	赔	c=2 d=1 t=245961
pei 	配	c=24 d=1 t=252136
pei 	陪	c=16 d=1 t=253291
pei biao 	陪表	c=1 d=1 t=174657
pei bu lai 	配不来	c=1 d=1 t=43121
pei chan jia 	陪产假	c=2 d=1 t=268871
pei chang 	赔偿	c=6 d=1 t=229593
pei dian xiang 	配电箱	c=1 d=1 t=192040
pei en cai 	裴恩才	c=0 d=0.1 t=61372
pei fu 	佩服	c=2 d=1 t=177132
pei ge tu 	配个图	c=1 d=1 t=137631
pei he 	配合	c=38 d=1 t=266128
pei lian 	陪练	c=1 d=1 t=213673
pei lv 	赔率	c=4 d=2.73777 t=155188
pei ni 	陪你	c=11 d=1 t=111612
pei pei 	陪陪	c=0 d=0.1 t=97288
pei pei ni 	陪陪你	c=1 d=1 t=97289
pei pei pei 	呸呸呸	c=2 d=1 t=39889
pei se 	配色	c=2 d=1 t=264119
pei shang 	配上	c=1 d=1 t=214326
pei ta men 	陪他们	c=1 d=1 t=140948
pei tao she shi 	配套设施	c=1 d=1 t=217872
pei tu 	配图	c=1 d=1 t=137658
pei wo 	陪我	c=2 d=1 t=60842
pei xun 	培训	c=6 d=1 t=226931
pei yang 	培养	c=4 d=2.82344 t=151178
pei yi ge 	配一个	c=1 d=1 t=137654
pei zhe 	陪着	c=3 d=1 t=126434
pei zhe ni 	陪着你	c=1 d=1 t=101179
pei zhi 	配置	c=183 d=1.0414 t=268962
pei zui 	赔罪	c=1 d=1 t=3057
pen 	喷	c=22 d=1 t=238534
pen 	盆	c=1 d=1 t=126753
pen gu 	喷古	c=1 d=1 t=216156
pen gu ji 	喷估计	c=1 d=1 t=216154
pen jin bi 	喷金币	c=1 d=1 t=202468
pen ti 	喷嚏	c=9 d=1 t=180014
pen xia 	喷下	c=1 d=1 t=132723
pen yao 	喷药	c=2 d=1 t=247691
peng 	捧	c=1 d=1 t=185811
peng 	碰	c=2 d=1.97531 t=144052
peng bu dao 	碰不到	c=1 d=1 t=66137
peng dao 	碰到	c=2 d=1 t=235895
peng ke 	朋克	c=3 d=1 t=257914
peng mian 	碰面	c=1 d=1.08146 t=59915
peng tou 	碰头	c=1 d=1 t=161707
peng xin ren 	捧新人	c=1 d=1 t=125270
peng you 	朋友	c=69 d=1 t=264341
peng you quan 	朋友圈	c=13 d=1 t=217366
peng you shuo 	朋友说	c=1 d=1 t=15036
peng zhang 	膨胀	c=16 d=1.58131 t=169580
peng zhao 	碰着	c=1 d=1 t=163824
pi 	屁	c=18 d=1 t=249759
pi 	批	c=2 d=1 t=125844
pi 	皮	c=5 d=1 t=146386
pi bei 	疲惫	c=1 d=1 t=248143
pi ci 	批次	c=2 d=1 t=158503
pi dan 	皮蛋	c=9 d=1.01804 t=119571
pi dan tang 	皮蛋汤	c=1 d=1 t=41311
pi fu 	皮肤	c=57 d=1.257 t=262511
pi gu 	屁股	c=13 d=1 t=230978
pi gu bei hou 	屁股背后	c=1 d=1 t=108421
pi gu bu shu fu 	屁股不舒服	c=1 d=1 t=108109
pi jiu 	啤酒	c=7 d=1.08521 t=240912
pi jiu nv lang 	啤酒女郎	c=1 d=1 t=240881
pi jiu ping 	啤酒瓶	c=1 d=1 t=3242
pi jiu ya 	啤酒鸭	c=2 d=1 t=250796
pi li pa la 	噼里啪啦	c=2 d=1.00006 t=2020
pi liang 	批量	c=1 d=1 t=116258
pi pa 	琵琶	c=1 d=1 t=201567
pi pei 	匹配	c=5 d=1 t=127450
pi pi 	屁屁	c=3 d=0.1 t=84126
pi ping 	批评	c=3 d=1 t=227636
pi tui 	劈腿	c=1 d=1 t=54009
pi yan ping 	皮炎平	c=4 d=1.58748 t=268997
pi yong 	屁用	c=1 d=1 t=191174
pian 	偏	c=5 d=1 t=255511
pian 	篇	c=1 d=1 t=2701
pian 	骗	c=6 d=1 t=168642
pian dao 	骗到	c=1 d=1 t=260768
pian er 	片儿	c=1 d=1 t=96992
pian fang 	偏方	c=2 d=1.86502 t=197557
pian pi 	偏僻	c=1 d=1 t=58086
pian qu 	片区	c=1 d=1 t=49085
pian qu 	骗取	c=1 d=1 t=49084
pian shang 	偏上	c=10 d=1 t=254491
pian tou tong 	偏头痛	c=6 d=1.3624 t=197759
pian xia 	偏下	c=2 d=1 t=171157
pian yi 	便宜	c=21 d=1 t=246946
pian yi 	偏移	c=2 d=1 t=257730
pian yi xie 	便宜些	c=2 d=1 t=129315
pian yuan 	偏远	c=1 d=1 t=111529
piao 	瓢	c=1 d=1 t=209742
piao 	票	c=12 d=0.267342 t=226449
piao 	飘	c=7 d=1.89583 t=254061
piao bo 	漂泊	c=1 d=1 t=5117
piao chang 	嫖娼	c=1 d=1 t=223544
piao chuang 	飘窗	c=2 d=1.37908 t=49015
piao dian dian 	票点点	c=1 d=1 t=226450
piao fang 	票房	c=1 d=1 t=251215
piao ju 	票据	c=1 d=1 t=225788
piao liang 	漂亮	c=2 d=1 t=73997
piao qi lai 	飘起来	c=1 d=1 t=35124
piao zi 	票子	c=1 d=1 t=254035
pie kai 	撇开	c=1 d=1 t=213294
pin 	品	c=1 d=1 t=89885
pin 	拼	c=10 d=1 t=253406
pin cheng 	拼成	c=2 d=1.94176 t=61133
pin cou 	拼凑	c=1 d=1 t=186193
pin dao 	频道	c=2 d=1 t=250359
pin duo duo 	拼多多	c=2 d=1 t=224830
pin fa 	拼法	c=1 d=1 t=32172
pin fan 	频繁	c=3 d=1 t=259163
pin kun 	贫困	c=1 d=1 t=119562
pin lv 	频率	c=2 d=1 t=16952
pin pai 	品牌	c=1 d=1 t=167956
pin xi xi 	拼夕夕	c=3 d=1 t=183227
pin zhe 	拼着	c=1 d=1 t=175756
ping 	平	c=8 d=1 t=241612
ping 	瓶	c=5 d=1 t=255444
ping 	评	c=2 d=1 t=225777
ping ban 	平板	c=4 d=1 t=262481
ping bi 	屏蔽	c=3 d=2.82612 t=160673
ping bi ceng 	屏蔽层	c=1 d=1 t=158469
ping ce 	评测	c=1 d=1 t=62785
ping deng hu zhu 	平等互助	c=1 d=1 t=77275
ping di 	平地	c=2 d=1.9802 t=27569
ping fang 	平方	c=1 d=1 t=8950
ping fen 	平分	c=3 d=1.99724 t=46830
ping fen 	评分	c=12 d=1.00006 t=48882
ping gu 	评估	c=23 d=1 t=231667
ping gu xia 	评估下	c=2 d=1 t=177213
ping guo 	苹果	c=13 d=1 t=253992
ping guo pai 	苹果派	c=1 d=1 t=93531
ping heng 	平衡	c=1 d=1 t=160429
ping hua 	平滑	c=2 d=1 t=96629
ping ji 	评级	c=1 d=1 t=173318
ping jia 	评价	c=5 d=1 t=249527
ping jing 	瓶颈	c=2 d=1 t=238525
ping jun 	平均	c=19 d=1.25284 t=269280
ping jun zhi 	平均值	c=2 d=1 t=260190
ping lun 	评论	c=2 d=1 t=202825
ping mi 	平米	c=2 d=1 t=101634
ping mu 	屏幕	c=21 d=1 t=260103
ping mu wai 	屏幕外	c=2 d=1 t=74895
ping pan 	评判	c=2 d=1 t=156727
ping shen 	评审	c=6 d=1 t=179697
ping shen hui 	评审会	c=17 d=1 t=261460
ping shi 	平时	c=9 d=1 t=228802
ping tai 	平台	c=2 d=1 t=261306
ping tai ba 	平台吧	c=1 d=1 t=55150
ping wen 	平稳	c=1 d=1 t=931
ping yi 	评议	c=1 d=1 t=58074
ping zi 	瓶子	c=1 d=1 t=21784
po 	坡	c=1 d=1 t=84682
po 	破	c=7 d=0.651563 t=229814
po an 	破案	c=1 d=1 t=258178
po chan 	破产	c=1 d=1 t=106032
po da 	颇大	c=1 d=1 t=198481
po huai 	破坏	c=1 d=1 t=112486
po jie 	破戒	c=1 d=1 t=229716
po jie 	破解	c=17 d=1 t=264004
po jie ban 	破解版	c=7 d=1 t=256280
po jie ruan jian 	破解软件	c=1 d=1 t=19674
po li 	魄力	c=2 d=1.92312 t=238960
po mie 	破灭	c=1 d=1 t=29545
po po 	婆婆	c=1 d=1 t=176934
po sui 	破碎	c=0 d=0.1 t=139654
po sui da 	破碎大	c=1 d=1 t=139655
po sun 	破损	c=1 d=1 t=139774
po you 	颇有	c=1 d=1 t=27625
po you dian 	颇有点	c=1 d=1 t=319
pu dian 	铺垫	c=1 d=1 t=4223
pu ke 	扑克	c=1 d=1 t=196275
pu ke pai 	扑克牌	c=1 d=1 t=41553
pu tao gan 	葡萄干	c=1 d=1 t=90932
pu tong 	普通	c=58 d=1 t=254933
pu tong dai 	普通带	c=1 d=1 t=208311
pu tong fa 	普通法	c=2 d=1.26982 t=40124
pu tong hua 	普通话	c=2 d=1 t=218560
pu tong ma 	普通马	c=0 d=0.1 t=52347
pu tong ma gai 	普通马改	c=1 d=1 t=52348
pu tong ren 	普通人	c=1 d=1 t=4810
pu tong tan 	普通弹	c=1 d=1 t=224278
qi 	七	c=2 d=1.00055 t=3602
qi 	其	c=28 d=1.93707 t=265106
qi 	器	c=1 d=1 t=264123
qi 	奇	c=1 d=1 t=171787
qi 	期	c=25 d=1.7788 t=269078
qi 	气	c=14 d=1.99501 t=265790
qi 	起	c=18 d=1 t=262148
qi 	齐	c=7 d=1 t=255532
qi ba dian 	七八点	c=1 d=1 t=250534
qi bing 	奇兵	c=1 d=1 t=165185
qi bu 	起步	c=3 d=1 t=165184
qi bu lai 	起不来	c=1 d=1 t=251501
qi bu shi 	岂不是	c=6 d=1 t=228702
qi che 	骑车	c=6 d=1 t=268712
qi chuang 	起床	c=2 d=1 t=137516
qi ci 	其次	c=1 d=1 t=192098
qi da wu bi 	奇大无比	c=1 d=1 t=66639
qi da zao 	起大早	c=1 d=1 t=198749
qi dai 	期待	c=10 d=1 t=255548
qi dai zhe 	期待着	c=1 d=1 t=165139
qi dan che 	骑单车	c=1 d=1 t=10317
qi dao 	祈祷	c=1 d=1 t=136319
qi dao 	起到	c=2 d=1 t=136318
qi de 	气得	c=2 d=1 t=58433
qi dian 	七点	c=1 d=1 t=2108
qi dong 	启动	c=5 d=1 t=259513
qi e 	企鹅	c=1 d=1 t=251310
qi fu 	欺负	c=3 d=1 t=253840
qi gai 	乞丐	c=1 d=1 t=119442
qi ge ren 	七个人	c=1 d=1 t=1792
qi gong 	气功	c=2 d=1.97531 t=160552
qi gong shi 	气功师	c=2 d=1 t=147741
qi gu gu 	气鼓鼓	c=1 d=1 t=58441
qi guai 	奇怪	c=5 d=1 t=219652
qi hao tou 	起好头	c=1 d=1 t=200027
qi he 	契合	c=1 d=1 t=26227
qi hui qu 	骑回去	c=1 d=1 t=16135
qi jia 	起家	c=1 d=1 t=230143
qi jian 	期间	c=8 d=1 t=260046
qi jian li you 	期间理由	c=1 d=1 t=260
qi jie gou 	其结构	c=1 d=1 t=21072
qi kai 	起开	c=1 d=1 t=150486
qi kong 	气孔	c=0 d=0.1 t=29512
qi lai 	起来	c=274 d=1 t=268163
qi lai mei 	起来没	c=1 d=1 t=83412
qi man dian 	其慢点	c=1 d=1 t=261006
qi miao 	奇妙	c=2 d=1 t=233538
qi na shi 	期那时	c=1 d=1 t=236195
qi pa 	奇葩	c=4 d=1 t=247061
qi pai 	棋牌	c=8 d=1 t=252711
qi pan 	期盼	c=95 d=1.71534 t=268025
qi pan 	棋盘	c=310 d=1.6304 t=268298
qi pan mei 	棋盘没	c=2 d=1 t=203789
qi pan shu ju 	棋盘数据	c=1 d=1 t=143202
qi pao 	旗袍	c=2 d=1.94649 t=136993
qi pao 	气泡	c=2 d=1.94649 t=136994
qi pian 	欺骗	c=1 d=1 t=15019
qi po 	气魄	c=0 d=0.1 t=139220
qi po ai 	气魄哎	c=1 d=1 t=139221
qi qi ba ba 	七七八八	c=4 d=1 t=215643
qi qi guai guai 	奇奇怪怪	c=1 d=1 t=228575
qi qiu 	气球	c=6 d=1.92312 t=77793
qi rui 	奇瑞	c=0 d=0.1 t=151289
qi rui a 	奇瑞啊	c=1 d=1 t=151290
qi se 	七色	c=1 d=1.1 t=109647
qi se 	起色	c=1 d=1 t=249642
qi se fan 	起色饭	c=1 d=1 t=109646
qi se fang 	七色坊	c=1 d=1 t=109648
qi shen 	起身	c=1 d=1 t=4709
qi shi 	其实	c=109 d=1 t=267245
qi shi 	起始	c=2 d=1.86071 t=83312
qi shui 	契税	c=2 d=1 t=112688
qi si 	气死	c=3 d=1 t=133902
qi su 	起诉	c=3 d=1 t=250896
qi ta 	其他	c=487 d=4.11121 t=269182
qi ta ren 	其他人	c=16 d=1 t=255985
qi ta ren a 	其他人啊	c=1 d=1 t=166363
qi ta ya 	其他呀	c=1 d=1 t=186603
qi tong 	气筒	c=1 d=1 t=42640
qi wang 	期望	c=1 d=1 t=136304
qi wei 	气味	c=1 d=1 t=1392
qi wu 	起舞	c=1 d=1 t=92764
qi xi 	七夕	c=2 d=1 t=184084
qi xi 	气息	c=1 d=1 t=167960
qi xian 	期限	c=2 d=1 t=149789
qi xin 	齐心	c=1 d=1 t=220486
qi xing 	七星	c=1 d=1 t=27086
qi xing 	骑行	c=1 d=1 t=95409
qi xue 	气血	c=1 d=1.00937 t=194232
qi xue bu zu 	气血不足	c=1 d=1 t=119948
qi ye 	企业	c=4 d=1 t=245698
qi ye yang di huang shuang gan di yan ye 	七叶洋地黄双苷滴眼液	c=1 d=1 t=248849
qi yong 	弃用	c=3 d=1 t=127686
qi zheng 	起征	c=1 d=1 t=46719
qi zhi 	气质	c=3 d=1 t=242281
qi zhong 	其中	c=24 d=1.00001 t=265087
qi zi 	棋子	c=5 d=1 t=184297
qi zi xing che 	骑自行车	c=11 d=1 t=256970
qia 	卡	c=14 d=1 t=202969
qia diao 	掐掉	c=1 d=1 t=173583
qia e si 	卡俄斯	c=1 d=1 t=18052
qia hao 	恰好	c=1 d=1 t=2884
qia pan 	卡盘	c=0 d=0.1 t=145347
qia qiao 	恰巧	c=2 d=1.97531 t=141722
qia zhi 	掐指	c=1 d=1 t=35352
qian 	前	c=65 d=1.20291 t=269566
qian 	千	c=2 d=1 t=90593
qian 	钱	c=518 d=3.55733 t=269734
qian bao 	钱包	c=2 d=1 t=246887
qian bu jiu 	前不久	c=4 d=1 t=177442
qian bu liao 	签不了	c=0 d=0.1 t=51889
qian bu liao zi 	签不了字	c=2 d=1.87372 t=51917
qian ceng 	千层	c=2 d=1 t=179754
qian che dao 	牵扯到	c=1 d=1 t=229074
qian chu qu 	牵出去	c=2 d=1.92312 t=143551
qian dai 	钱袋	c=6 d=4.27677 t=207850
qian dai zi 	钱袋子	c=6 d=5.77131 t=207819
qian dia 	钱嗲	c=1 d=1 t=207699
qian ding 	签订	c=1 d=1 t=241189
qian dou shi 	钱都是	c=1 d=1 t=33140
qian duan 	前端	c=44 d=1.59156 t=256621
qian he tong 	签合同	c=2 d=1.66034 t=31270
qian ji ge 	前几个	c=2 d=1.99501 t=7894
qian ji tian 	前几天	c=3 d=1 t=222045
qian jing 	前景	c=1 d=1 t=34006
qian li 	潜力	c=1 d=1 t=5116
qian li gu 	潜力股	c=1 d=1 t=216652
qian liang ge 	前两个	c=1 d=1 t=55957
qian mi 	千米	c=0 d=0.1 t=29241
qian mi a 	千米啊	c=1 d=1 t=29242
qian mian 	前面	c=61 d=1 t=266420
qian ming 	签名	c=1 d=1 t=82658
qian qi 	前妻	c=2 d=1 t=82490
qian qi 	前期	c=1 d=1 t=16575
qian qian 	千千	c=4 d=1 t=264474
qian qian 	欠钱	c=1 d=1 t=224031
qian qian 	钱钱	c=2 d=1 t=264475
qian qiang 	牵强	c=2 d=1 t=259693
qian que 	欠缺	c=7 d=1 t=256906
qian ru 	嵌入	c=1 d=1 t=107770
qian shan 	前山	c=3 d=1.97159 t=263972
qian she dao 	牵涉到	c=2 d=1 t=43217
qian shu 	钱数	c=2 d=1 t=197096
qian tai 	前台	c=8 d=1.42956 t=206772
qian tao 	嵌套	c=9 d=1 t=253595
qian ti 	前提	c=8 d=1 t=256632
qian ti xia 	前提下	c=1 d=1 t=97631
qian tian 	前天	c=3 d=1 t=265243
qian tuo 	欠妥	c=1 d=1 t=157936
qian xian 	前线	c=1 d=1 t=27816
qian xie ri zi 	前些日子	c=2 d=1.60351 t=117
qian xu 	谦虚	c=1 d=1 t=4097
qian xue sen 	钱学森	c=1 d=1 t=235267
qian yan bu da hou yu 	前言不搭后语	c=1 d=1 t=39990
qian yi ge 	前一个	c=1 d=1 t=32558
qian yue 	签约	c=2 d=1 t=223540
qian zhan 	前瞻	c=1 d=1 t=229229
qian zhan xing 	前瞻性	c=1 d=1 t=150966
qian zhe 	牵着	c=2 d=1 t=94570
qian zhi 	牵制	c=3 d=2.80715 t=245602
qiang 	呛	c=1 d=1 t=196112
qiang 	墙	c=1 d=1 t=208761
qiang 	强	c=10 d=1 t=250737
qiang 	抢	c=6 d=1 t=236853
qiang 	枪	c=1 d=1 t=100919
qiang bu guo 	抢不过	c=1 d=1 t=8268
qiang da 	强大	c=2 d=1 t=198830
qiang dao 	抢到	c=2 d=1.97531 t=197844
